player_name,team,age,cap_hit,years_remaining
Mason McTavish,ANA,23,7000000,6
Troy Terry,ANA,28,7000000,5
Mikael Granlund,ANA,34,7000000,3
Chris Kreider,ANA,34,6500000,2
Alex Killorn,ANA,36,6250000,2
Frank Vatrano,ANA,32,4571189,3
Ryan Poehling,ANA,27,1900000,1
Ross Johnston,ANA,32,1100000,1
Cutter Gauthier,ANA,22,950000,1
Leo Carlsson,ANA,21,950000,1
Beckett Sennecke,ANA,20,942500,3
Tim Washe,ANA,24,812500,2
Jansen Harkins,ANA,28,787500,1
Jeffrey Viel,ANA,29,775000,1
Jacob Trouba,ANA,32,8000000,1
John Carlson,ANA,36,8000000,1
Radko Gudas,ANA,35,4000000,1
Drew Helleson,ANA,25,1100000,2
Jackson LaCombe,ANA,25,925000,1
Ian Moore,ANA,24,925000,1
Pavel Mintyukov,ANA,22,918333,1
Olen Zellweger,ANA,22,844167,1
Tyson Hinds,ANA,23,829444,1
Lukas Dostal,ANA,25,6500000,5
Petr Mrazek,ANA,34,4250000,1
Ville Husso,ANA,31,2200000,2
Nico Myatovic,ANA,21,896667,2
Nathan Gaucher,ANA,22,886667,2
Lucas Pettersson,ANA,19,869050,3
Yegor Sidorov,ANA,21,865000,2
Coulson Pitre,ANA,21,860000,2
Jaxsen Wiebe,ANA,23,852500,1
Sam Colangelo,ANA,24,850000,2
Sasha Pastujov,ANA,22,825000,1
Nikita Nesterenko,ANA,24,787500,2
Jan Mysak,ANA,23,775000,1
Judd Caulfield,ANA,25,837500,
Herman Traff,ANA,20,990000,3
Stian Solberg,ANA,20,942500,3
Noah Warren,ANA,21,865000,2
Tristan Luneau,ANA,22,865000,2
Konnor Smith,ANA,21,855000,3
Jeremie Biakabutuka,ANA,24,825000,1
Tomas Suchanek,ANA,22,870000,2
Vyacheslav Buteyets,ANA,23,852500,1
Damian Clara,ANA,21,846667,3
Calle Clang,ANA,23,775000,1
Alexandre Blais,ANA,20,,
Ethan Bowen,ANA,23,,
Austin Burnevik,ANA,21,,
Michael Callow,ANA,22,,
Artyom Galimov,ANA,26,,
Kyle Kukkonen,ANA,23,,
Maxim Masse,ANA,20,,
Ethan Procyszyn,ANA,19,,
Tarin Smith,ANA,20,,
Darels Uljanskis,ANA,19,,
Roger Mcqueen,ANA,19,,
Eric Nilson,ANA,18,,
Lasse Boelius,ANA,19,,
Noah Read,ANA,19,,
Drew Schock,ANA,19,,
Elijah Neuenschwander,ANA,19,,
Alexis Mathieu,ANA,18,,
Émile Guité,ANA,18,,
Anthony Allain-Samaké,ANA,18,,
Brady Turko,ANA,18,,
David Pastrnak,BOS,29,11250000,6
Elias Lindholm,BOS,31,7750000,6
Casey Mittelstadt,BOS,27,5750000,2
Morgan Geekie,BOS,27,5500000,6
Pavel Zacha,BOS,29,4750000,2
Viktor Arvidsson,BOS,33,4000000,1
Tanner Jeannot,BOS,28,3400000,5
Sean Kuraly,BOS,33,1850000,2
Mark Kastelic,BOS,27,1566667,3
Michael Eyssimont,BOS,29,1450000,2
Lukas Reichel,BOS,23,1200000,1
Marat Khusnutdinov,BOS,23,925000,2
Alex Steeves,BOS,26,850000,1
Fraser Minten,BOS,21,816667,2
Charlie McAvoy,BOS,28,9500000,5
Hampus Lindholm,BOS,32,6500000,5
Nikita Zadorov,BOS,30,5000000,5
Mason Lohrei,BOS,25,3200000,2
Henri Jokiharju,BOS,26,3000000,3
Andrew Peeke,BOS,28,2750000,1
Jordan Harris,BOS,25,825000,1
Jonathan Aspirot,BOS,26,775000,1
Jeremy Swayman,BOS,27,8250000,7
Joonas Korpisalo,BOS,31,3000000,3
James Hagens,BOS,19,975000,3
Matej Blumel,BOS,25,875000,1
Matthew Poitras,BOS,22,870000,1
Riley Duran,BOS,24,867500,1
Fabian Lysell,BOS,23,863333,1
Dans Locmelis,BOS,22,860000,3
Alexis Gendron,BOS,22,860000,1
John Farinacci,BOS,25,775000,1
Patrick Brown,BOS,33,775000,1
Georgii Merkulov,BOS,25,775000,1
Riley Tufte,BOS,27,775000,1
Navrin Mutter,BOS,25,775000,1
Frederic Brunet,BOS,22,860000,1
Loke Johansson,BOS,20,831667,3
Maximus Wanner,BOS,23,828333,1
Victor Soderstrom,BOS,25,775000,1
Michael Callahan,BOS,26,775000,1
Billy Sweezey,BOS,30,775000,1
Simon Zajicek,BOS,24,872500,1
Michael DiPietro,BOS,26,812500,2
Luke Cavallin,BOS,24,790000,1
Max Lundgren,BOS,24,952500,1
Roman Bychkov,BOS,25,,
Andre Gasseau,BOS,22,,
Elliott Groenewold,BOS,20,,
Beckett Hendrickson,BOS,20,,
Oskar Jellvik,BOS,23,,
Kristian Kostadinski,BOS,20,,
Mason Langenbrunner,BOS,23,,
Dean Letourneau,BOS,20,,
Jonathan Morello,BOS,19,,
Casper Nassen,BOS,21,,
Christopher Pelosi,BOS,21,,
Cole Spicer,BOS,21,,
Philip Svedeback,BOS,23,,
Ryan Walsh,BOS,22,,
William Zellers,BOS,20,,
William Moore,BOS,19,,
Liam Pettersson,BOS,19,,
Cooper Simpson,BOS,19,,
Vashek Blanar,BOS,18,,
Cole Chandler,BOS,18,,
Kirill Yemelyanov,BOS,19,,
