player_name,team,score
Nathan MacKinnon,COL,121
Leon Draisaitl,EDM,118
Connor McDavid,EDM,117
Igor Shesterkin,NYR,116
Connor Hellebuyck,WPG,115
Macklin Celebrini,SJS,109
Andrei Vasilevskiy,TBL,106
Cale Makar,COL,101
Quinn Hughes,MIN,97
David Pastrnak,BOS,94
Jake Oettinger,DAL,92
Jason Robertson,DAL,91
Jack Eichel,VGK,90
Jeremy Swayman,BOS,89
Auston Matthews,TOR,89
Nick Suzuki,MTL,89
Nikita Kucherov,TBL,88
Logan Thompson,WSH,86
Ilya Sorokin,NYI,84
Karel Vejmelka,UTA,81
Jet Greaves,CBJ,80
Kirill Kaprizov,MIN,80
Matthew Schaefer,NYI,80
Cole Caufield,MTL,78
Jakub Dobes,MTL,76
Mitch Marner,VGK,76
Artemi Panarin,LAK,75
Filip Gustavsson,MIN,74
Filip Forsberg,NSH,73
Tage Thompson,BUF,72
Adam Fox,NYR,72
Ivan Demidov,MTL,72
Lukas Dostal,ANA,71
Aleksander Barkov,FLA,71
Jack Hughes,NJD,70
Sidney Crosby,PIT,69
Tim Stützle,OTT,69
Sam Reinhart,FLA,68
Wyatt Johnston,DAL,67
Alex DeBrincat,DET,67
Sebastian Aho,CAR,66
William Nylander,TOR,66
Lucas Raymond,DET,64
Jesper Bratt,NJD,64
Jake Guentzel,TBL,64
Juuse Saros,NSH,63
Sebastian Aho,PIT,63
Brayden Point,TBL,63
Jared McCann,SEA,62
Spencer Knight,CHI,61
Devin Cooley,CGY,61
Matt Boldy,MIN,60
Nikolaj Ehlers,CAR,59
Darcy Kuemper,LAK,59
Joel Hofer,STL,59
Dylan Larkin,DET,58
Nico Hischier,NJD,58
Linus Ullmark,OTT,57
Mark Scheifele,WPG,57
Robert Thomas,STL,56
Kyle Connor,WPG,56
Casey DeSmith,DAL,55
Brandon Hagel,TBL,55
Kirill Marchenko,CBJ,54
Mackenzie Blackwood,COL,54
Roope Hintz,DAL,54
Brady Tkachuk,OTT,54
Clayton Keller,UTA,54
Ukko-Pekka Luukkonen,BUF,53
Brock Nelson,COL,53
Bo Horvat,NYI,53
Jordan Kyrou,STL,53
Anthony Stolarz,TOR,53
Pavel Dorofeyev,VGK,53
Cutter Gauthier,ANA,52
Evan Bouchard,EDM,52
Matthew Tkachuk,FLA,52
Stuart Skinner,PIT,52
Elias Pettersson,VAN,52
Morgan Geekie,BOS,51
Rasmus Dahlin,BUF,51
Zach Werenski,CBJ,51
Joseph Woll,TOR,51
Brad Marchand,FLA,50
Jake Allen,NJD,50
Drake Batherson,OTT,50
Dylan Guenther,UTA,50
Gabriel Vilardi,WPG,50
Alex Lyon,BUF,49
Lane Hutson,MTL,49
Kevin Fiala,LAK,48
Mika Zibanejad,NYR,48
Alex Tuch,BUF,47
Zach Hyman,EDM,47
Joey Daccord,SEA,47
John Tavares,TOR,47
Jacob Fowler,MTL,46
Mark Stone,VGK,46
John Gibson,DET,45
Seth Jarvis,CAR,45
Carter Verhaeghe,FLA,45
Leo Carlsson,ANA,44
Martin Necas,COL,44
Tyler Toffoli,SJS,44
Troy Terry,ANA,43
Dustin Wolf,CGY,43
Anthony Cirelli,TBL,43
Nick Schmaltz,UTA,43
Tom Wilson,WSH,43
Shayne Gostisbehere,CAR,42
Ryan O'Reilly,NSH,42
Jackson Blake,CAR,41
Matt Duchene,DAL,41
Steven Stamkos,NSH,41
Jake Sanderson,OTT,41
Josh Morrissey,WPG,41
Moritz Seider,DET,40
Andrei Kuzmenko,LAK,40
Claude Giroux,OTT,40
Dylan Holloway,STL,40
Jaccob Slavin,CAR,39
Damon Severson,CBJ,39
Scott Wedgewood,COL,39
Justin Sourdif,WSH,39
Beckett Sennecke,ANA,38
Frederik Andersen,CAR,38
Dan Vladar,PHI,38
Owen Tippett,PHI,38
Anthony Mantha,PIT,38
Jackson LaCombe,ANA,37
Mikko Rantanen,DAL,37
Adrian Kempe,LAK,37
Logan Cooley,UTA,37
Tyler Bertuzzi,CHI,36
Nazem Kadri,COL,36
Cam Talbot,DET,36
Denton Mateychuk,CBJ,35
Valeri Nichushkin,COL,35
Jesper Wallstedt,MIN,35
Jordan Spence,OTT,35
Pavel Buchnevich,STL,35
Dylan Strome,WSH,35
Josh Doan,BUF,34
Brandon Bussi,CAR,34
Gustav Forsling,FLA,34
Timo Meier,NJD,34
Mathew Barzal,NYI,34
Tyson Foerster,PHI,34
Rickard Rakell,PIT,34
JJ Peterka,UTA,34
Thatcher Demko,VAN,34
Charlie Lindgren,WSH,34
Conor Garland,CBJ,33
Anze Kopitar,LAK,33
Joel Eriksson Ek,MIN,33
Thomas Chabot,OTT,33
Jake DeBrusk,VAN,33
Sam Montembeault,MTL,32
Chris Kreider,ANA,32
Brent Burns,COL,32
